algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
jps_like,1,24.414213562373096,9.0,0.4523000097833574,77,random_generated,20,0.3,20,20,seed42
improved_astar,1,22.63441361516796,6.0,0.4776999994646758,68,random_generated,20,0.3,20,20,seed42
dijkstra,1,18.899494936611667,12.0,0.8444999984931201,250,random_generated,20,0.3,21,21,seed42
astar,1,18.899494936611667,11.0,0.1379000023007393,32,random_generated,20,0.3,21,21,seed42
weighted_astar,1,18.899494936611667,11.0,0.0996000017039477,20,random_generated,20,0.3,21,21,seed42
jps_like,0,,,0.3749000024981797,68,random_generated,20,0.3,21,21,seed42
improved_astar,0,,,0.3480000013951212,68,random_generated,20,0.3,21,21,seed42
dijkstra,1,5.242640687119285,3.0,0.1622999843675643,53,random_generated,20,0.3,22,22,seed42
astar,1,5.242640687119285,3.0,0.0212000159081071,5,random_generated,20,0.3,22,22,seed42
weighted_astar,1,5.242640687119285,3.0,0.0189999991562217,5,random_generated,20,0.3,22,22,seed42
jps_like,1,8.414213562373096,5.0,0.1075000036507844,14,random_generated,20,0.3,22,22,seed42
improved_astar,1,6.708203932499369,2.0,0.0960000033956021,13,random_generated,20,0.3,22,22,seed42
dijkstra,1,18.65685424949238,7.0,0.5278000026009977,188,random_generated,20,0.3,23,23,seed42
astar,1,18.65685424949238,7.0,0.1058999914675951,27,random_generated,20,0.3,23,23,seed42
weighted_astar,1,18.656854249492383,6.0,0.0926999782677739,23,random_generated,20,0.3,23,23,seed42
jps_like,1,21.242640687119284,7.0,0.2740999916568398,44,random_generated,20,0.3,23,23,seed42
improved_astar,1,19.779271744364845,6.0,0.2065000007860362,33,random_generated,20,0.3,23,23,seed42
dijkstra,1,18.970562748477143,1.0,0.6466000049840659,225,random_generated,20,0.3,24,24,seed42
astar,1,18.970562748477143,3.0,0.0813999795354902,17,random_generated,20,0.3,24,24,seed42
weighted_astar,1,18.970562748477143,3.0,0.1185000000987201,15,random_generated,20,0.3,24,24,seed42
jps_like,1,23.656854249492383,13.0,0.8448000007774681,91,random_generated,20,0.3,24,24,seed42
improved_astar,1,20.83557143830641,4.0,0.5779000057373196,68,random_generated,20,0.3,24,24,seed42
dijkstra,1,16.242640687119284,5.0,0.4455999878700822,126,random_generated,20,0.3,25,25,seed42
astar,1,16.242640687119284,5.0,0.1081000082194805,22,random_generated,20,0.3,25,25,seed42
weighted_astar,1,16.242640687119284,5.0,0.0942999904509633,21,random_generated,20,0.3,25,25,seed42
jps_like,1,18.242640687119284,7.0,0.1487999979872256,18,random_generated,20,0.3,25,25,seed42
improved_astar,1,16.65247584249853,2.0,0.1228000037372112,15,random_generated,20,0.3,25,25,seed42
dijkstra,1,13.899494936611667,6.0,0.915899989195168,259,random_generated,20,0.3,26,26,seed42
astar,1,13.899494936611667,6.0,0.1444000226911157,35,random_generated,20,0.3,26,26,seed42
weighted_astar,1,13.899494936611667,4.0,0.0742999836802482,18,random_generated,20,0.3,26,26,seed42
jps_like,1,20.82842712474619,8.0,0.8040000102482736,110,random_generated,20,0.3,26,26,seed42
improved_astar,1,19.516177866780307,3.0,0.5512000061571598,76,random_generated,20,0.3,26,26,seed42
dijkstra,1,9.82842712474619,2.0,0.2970999921672046,100,random_generated,20,0.3,27,27,seed42
astar,1,9.82842712474619,4.0,0.0724000274203717,18,random_generated,20,0.3,27,27,seed42
