algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
weighted_astar,1,20.55634918610405,6,0.0872999953571707,27,20,0.3,4,4
jps_like,1,18.899494936611667,6,0.17719999596010894,28,20,0.3,4,4
improved_astar,1,17.797928231006722,4,0.17939999816007912,27,20,0.3,4,4
ablation_no_adaptive,1,16.52145126328583,6,0.17169999773614109,26,20,0.3,4,4
ablation_no_jump,1,18.21747754732893,6,0.12240000069141388,38,20,0.3,4,4
ablation_no_smoothing,1,18.899494936611667,6,0.17139999545179307,27,20,0.3,4,4
dijkstra,1,12.485281374238571,7,0.09480000881012529,39,20,0.7,0,0
astar,1,12.485281374238571,7,0.05360000068321824,18,20,0.7,0,0
weighted_astar,1,12.485281374238571,7,0.039699996705166996,13,20,0.7,0,0
jps_like,1,12.48528137423857,7,0.06940000457689166,17,20,0.7,0,0
improved_astar,1,10.242640687119286,4,0.08779999916441739,24,20,0.7,0,0
ablation_no_adaptive,1,10.242640687119286,4,0.06930000381544232,13,20,0.7,0,0
ablation_no_jump,1,11.478708664619077,6,0.06079999729990959,24,20,0.7,0,0
ablation_no_smoothing,1,12.48528137423857,7,0.08699999307282269,24,20,0.7,0,0
dijkstra,1,3.82842712474619,2,0.03779999678954482,7,20,0.7,1,1
astar,1,3.82842712474619,2,0.013299999409355223,4,20,0.7,1,1
weighted_astar,1,3.82842712474619,2,0.010599993402138352,4,20,0.7,1,1
jps_like,1,3.82842712474619,2,0.015699988580308855,4,20,0.7,1,1
improved_astar,1,2.414213562373095,1,0.018699996871873736,5,20,0.7,1,1
ablation_no_adaptive,1,2.414213562373095,1,0.016599995433352888,4,20,0.7,1,1
ablation_no_jump,1,2.414213562373095,1,0.014600009308196604,5,20,0.7,1,1
ablation_no_smoothing,1,3.82842712474619,2,0.01829999382607639,5,20,0.7,1,1
dijkstra,1,1.0,0,0.009399998816661537,2,20,0.7,2,2
astar,1,1.0,0,0.006200003554113209,2,20,0.7,2,2
weighted_astar,1,1.0,0,0.0037999998312443495,2,20,0.7,2,2
jps_like,1,1.0,0,0.005400012014433742,2,20,0.7,2,2
improved_astar,1,1.0,0,0.04699999408330768,2,20,0.7,2,2
ablation_no_adaptive,1,1.0,0,0.008199989679269493,2,20,0.7,2,2
ablation_no_jump,1,1.0,0,0.005599998985417187,2,20,0.7,2,2
ablation_no_smoothing,1,1.0,0,0.005199995939619839,2,20,0.7,2,2
dijkstra,1,8.071067811865476,3,0.05869999586138874,22,20,0.7,3,3
astar,1,8.071067811865476,3,0.025900008040480316,9,20,0.7,3,3
weighted_astar,1,8.071067811865476,3,0.021599989850074053,8,20,0.7,3,3
jps_like,1,8.071067811865476,3,0.0371999922208488,9,20,0.7,3,3
improved_astar,1,6.4787086646190755,2,0.04739999712910503,10,20,0.7,3,3
ablation_no_adaptive,1,6.4787086646190755,2,0.03020001167897135,7,20,0.7,3,3
ablation_no_jump,1,6.4787086646190755,2,0.02849999873433262,10,20,0.7,3,3
ablation_no_smoothing,1,8.071067811865476,3,0.03989999822806567,10,20,0.7,3,3
dijkstra,1,7.242640687119285,4,0.027799993404187262,11,20,0.7,4,4
astar,1,7.242640687119285,4,0.019499988411553204,7,20,0.7,4,4
weighted_astar,1,7.242640687119285,4,0.017400001524947584,7,20,0.7,4,4
jps_like,1,7.242640687119285,4,0.025999994250014424,7,20,0.7,4,4
improved_astar,1,6.414213562373095,3,0.025500004994682968,7,20,0.7,4,4
ablation_no_adaptive,1,6.414213562373095,3,0.02549999044276774,7,20,0.7,4,4
ablation_no_jump,1,6.414213562373095,3,0.019099999917671084,7,20,0.7,4,4
ablation_no_smoothing,1,7.242640687119285,4,0.025899993488565087,7,20,0.7,4,4
dijkstra,1,17.72792206135786,6,0.6845999887445942,246,40,0.3,0,0
astar,1,17.72792206135786,7,0.10400000610388815,30,40,0.3,0,0
weighted_astar,1,17.72792206135786,7,0.058200006606057286,16,40,0.3,0,0
jps_like,1,17.727922061357855,8,0.26849999267142266,29,40,0.3,0,0
improved_astar,1,16.518238340293244,4,0.14740000187885016,17,40,0.3,0,0
ablation_no_adaptive,1,16.518238340293244,4,0.13250000483822078,17,40,0.3,0,0
ablation_no_jump,1,16.467619339678826,3,0.061699989601038396,16,40,0.3,0,0
ablation_no_smoothing,1,17.727922061357855,8,0.1269000058528036,17,40,0.3,0,0
dijkstra,1,26.798989873223338,9,2.0188999915262684,576,40,0.3,1,1
astar,1,26.798989873223338,10,0.20419999782461673,59,40,0.3,1,1
weighted_astar,1,27.384776310850242,9,0.1497999910498038,43,40,0.3,1,1
jps_like,1,26.79898987322333,10,0.42159999429713935,58,40,0.3,1,1
improved_astar,1,26.291625505783784,6,0.23219999275170267,32,40,0.3,1,1
ablation_no_adaptive,1,26.291625505783784,6,0.2201000024797395,32,40,0.3,1,1
ablation_no_jump,1,25.586403691108696,7,0.17329999536741525,43,40,0.3,1,1
ablation_no_smoothing,1,27.38477631085023,8,0.21319999359548092,32,40,0.3,1,1
dijkstra,1,15.656854249492381,4,0.635899996268563,210,40,0.3,2,2
astar,1,15.656854249492381,4,0.1250000059371814,35,40,0.3,2,2
weighted_astar,1,16.485281374238575,6,0.07320000440813601,21,40,0.3,2,2
jps_like,1,15.65685424949238,4,0.26339999749325216,35,40,0.3,2,2
improved_astar,1,15.048627177541055,5,0.14619999274145812,18,40,0.3,2,2
ablation_no_adaptive,1,15.048627177541055,5,0.12660000356845558,19,40,0.3,2,2
ablation_no_jump,1,14.807223446092154,4,0.08129999332595617,20,40,0.3,2,2
ablation_no_smoothing,1,16.48528137423857,7,0.12080000306013972,18,40,0.3,2,2
dijkstra,1,8.242640687119284,4,0.32310000096913427,115,40,0.3,3,3
astar,1,8.242640687119284,3,0.04680000711232424,11,40,0.3,3,3
weighted_astar,1,8.242640687119284,3,0.043800013372674584,11,40,0.3,3,3
jps_like,1,8.242640687119284,3,0.0931999966269359,11,40,0.3,3,3
improved_astar,1,8.0,2,0.06570000550709665,7,40,0.3,3,3
ablation_no_adaptive,1,8.0,2,0.05319999763742089,7,40,0.3,3,3
ablation_no_jump,1,7.812559200041265,3,0.049700000090524554,11,40,0.3,3,3
ablation_no_smoothing,1,9.071067811865476,4,0.05079999391455203,7,40,0.3,3,3
dijkstra,1,29.656854249492383,7,2.937900004326366,1004,40,0.3,4,4
astar,1,29.656854249492383,8,0.20249999943189323,50,40,0.3,4,4
weighted_astar,1,30.485281374238575,11,0.15209999401122332,34,40,0.3,4,4
jps_like,1,29.656854249492383,9,0.31709999893791974,37,40,0.3,4,4
improved_astar,1,28.28538328578604,5,0.22279999393504113,21,40,0.3,4,4
ablation_no_adaptive,1,28.28538328578604,5,0.3186999965691939,23,40,0.3,4,4
ablation_no_jump,1,28.335087491092573,5,0.14630000805482268,34,40,0.3,4,4
ablation_no_smoothing,1,29.656854249492383,9,0.19869999960064888,21,40,0.3,4,4
dijkstra,1,8.65685424949238,6,0.04169999738223851,16,40,0.7,0,0
astar,1,8.65685424949238,6,0.031799994758330286,12,40,0.7,0,0
weighted_astar,1,8.65685424949238,6,0.02890000178012997,12,40,0.7,0,0
jps_like,1,8.65685424949238,6,0.042400002712383866,12,40,0.7,0,0
improved_astar,1,6.433978400210179,2,0.062399994931183755,15,40,0.7,0,0
