algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
weighted_astar,1,5.242640687119286,1,0.01920000067912042,5,20,0.3,11,11
jps_like,1,5.242640687119285,1,0.03880000440403819,6,20,0.3,11,11
improved_astar,1,5.06449510224598,1,0.021100000594742596,3,20,0.3,11,11
dijkstra,1,4.82842712474619,1,0.09339999814983457,29,20,0.3,12,12
astar,1,4.82842712474619,1,0.022599997464567423,5,20,0.3,12,12
weighted_astar,1,4.82842712474619,1,0.023900007363408804,5,20,0.3,12,12
jps_like,1,4.82842712474619,1,0.02469999890308827,3,20,0.3,12,12
improved_astar,1,4.47213595499958,0,0.027000001864507794,3,20,0.3,12,12
dijkstra,1,14.242640687119286,5,1.0863000061362982,250,20,0.3,13,13
astar,1,14.242640687119286,5,0.10869999823626131,24,20,0.3,13,13
weighted_astar,1,15.071067811865476,7,0.079699995694682,18,20,0.3,13,13
jps_like,1,14.242640687119286,6,0.2519999979995191,24,20,0.3,13,13
improved_astar,1,13.123105625617661,2,0.15550000534858555,16,20,0.3,13,13
dijkstra,1,16.899494936611667,6,0.7972000021254644,266,20,0.3,14,14
astar,1,16.899494936611667,6,0.09970000246539712,25,20,0.3,14,14
weighted_astar,1,16.899494936611667,8,0.06620000931434333,15,20,0.3,14,14
jps_like,1,16.899494936611664,6,0.18450000789016485,22,20,0.3,14,14
improved_astar,1,16.09745206830065,4,0.08230000094044954,8,20,0.3,14,14
dijkstra,1,10.485281374238571,3,0.48600000445730984,157,20,0.3,15,15
astar,1,10.485281374238571,4,0.0799000117694959,17,20,0.3,15,15
weighted_astar,1,10.485281374238571,4,0.04199999966658652,9,20,0.3,15,15
jps_like,1,10.48528137423857,5,0.10159998782910407,10,20,0.3,15,15
improved_astar,1,10.06449510224598,2,0.06920000305399299,7,20,0.3,15,15
dijkstra,1,13.071067811865476,8,0.6439000135287642,192,20,0.3,16,16
astar,1,13.071067811865476,8,0.0985000078799203,20,20,0.3,16,16
weighted_astar,1,13.071067811865476,8,0.060699996538460255,13,20,0.3,16,16
jps_like,1,13.071067811865476,8,0.1618999958736822,20,20,0.3,16,16
improved_astar,1,11.21110255092798,2,0.09459999273531139,13,20,0.3,16,16
dijkstra,1,8.0,0,0.1469000126235187,49,20,0.3,17,17
astar,1,8.0,0,0.04120000812690705,9,20,0.3,17,17
weighted_astar,1,8.0,0,0.037300007534213364,9,20,0.3,17,17
jps_like,1,8.0,1,0.08919999527279288,9,20,0.3,17,17
improved_astar,1,8.0,0,0.03779999678954482,4,20,0.3,17,17
dijkstra,1,4.82842712474619,3,0.1500999933341518,48,20,0.3,18,18
astar,1,4.82842712474619,3,0.02579999272711575,6,20,0.3,18,18
weighted_astar,1,4.82842712474619,3,0.02059999678749591,5,20,0.3,18,18
jps_like,1,4.82842712474619,3,0.0540999899385497,6,20,0.3,18,18
improved_astar,1,4.47213595499958,1,0.046900007873773575,5,20,0.3,18,18
dijkstra,1,17.899494936611667,7,0.4322000022511929,151,20,0.3,19,19
astar,1,17.899494936611667,9,0.14370000280905515,43,20,0.3,19,19
weighted_astar,1,17.899494936611667,9,0.12369999603834003,37,20,0.3,19,19
jps_like,1,17.899494936611667,7,0.28119998751208186,43,20,0.3,19,19
improved_astar,1,13.837882267736525,6,0.30079999123699963,46,20,0.3,19,19
dijkstra,1,17.142135623730955,3,0.6747000006726012,194,20,0.3,20,20
astar,1,17.142135623730955,5,0.13470000703819096,19,20,0.3,20,20
weighted_astar,1,17.142135623730955,5,0.1429999974789098,14,20,0.3,20,20
jps_like,1,17.142135623730947,4,0.17939999816007912,19,20,0.3,20,20
improved_astar,1,16.411799750329685,2,0.09349999891128391,9,20,0.3,20,20
dijkstra,1,18.899494936611667,12,0.720199997886084,250,20,0.3,21,21
astar,1,18.899494936611667,11,0.13100000796839595,32,20,0.3,21,21
weighted_astar,1,18.899494936611667,11,0.07779999577905983,20,20,0.3,21,21
jps_like,1,18.899494936611667,11,0.21699999342672527,31,20,0.3,21,21
improved_astar,1,18.29126786466034,9,0.2119999990100041,31,20,0.3,21,21
dijkstra,1,5.242640687119285,3,0.20889998995698988,53,20,0.3,22,22
astar,1,5.242640687119285,3,0.0281000102404505,5,20,0.3,22,22
weighted_astar,1,5.242640687119285,3,0.024200009647756815,5,20,0.3,22,22
jps_like,1,5.242640687119285,3,0.04909999552182853,5,20,0.3,22,22
improved_astar,1,5.06449510224598,2,0.047599998652003706,5,20,0.3,22,22
dijkstra,1,18.65685424949238,7,0.9582999919075519,188,20,0.3,23,23
astar,1,18.65685424949238,7,0.18360000103712082,27,20,0.3,23,23
weighted_astar,1,18.656854249492383,6,0.14050000754650682,23,20,0.3,23,23
jps_like,1,18.65685424949238,6,0.3341000119689852,32,20,0.3,23,23
improved_astar,1,17.468336390445764,2,0.1053000014508143,9,20,0.3,23,23
dijkstra,1,18.970562748477146,1,0.7504999957745895,225,20,0.3,24,24
