candidate,dataset,map_name,size,ratio,alpha,success,runtime_ms,path_length,turn_count,expanded_nodes
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,12.081599998055026,1346.4267525565585,0,449
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,2.8848999936599284,463.96228294981046,0,133
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,11.932699999306351,1823.8818492435303,0,461
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,5.557099997531623,728.4126577703054,0,193
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,29.476099996827543,2459.568254795951,0,609
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,7.677799992961809,749.4864908722504,0,238
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,5.018700001528487,586.7069114984074,0,161
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,12.9849000077229,1168.3646690995067,0,360
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,9.933599998475984,1149.6803903694279,0,327
fixed_1.2,weighted,Map10.map,2048,0.0,1.2,1,13.328000000910833,1522.4664199909303,0,385
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.06019999273121357,3.0,0,2
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.05609999061562121,2.23606797749979,0,3
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.048299989430233836,2.0,0,2
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.030199997127056122,1.4142135623730951,0,2
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.05750000127591193,3.605551275463989,0,3
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.020700012100860476,2.0,0,2
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.05050000618211925,2.23606797749979,0,3
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.05050000618211925,3.605551275463989,0,3
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.0391000066883862,3.605551275463989,0,3
log_clip_0.8_1.8,dao,arena.map,49,0.1445231153685964,1.8,1,0.06029999349266291,3.1622776601683795,0,3
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.12820001575164497,3.605551275463989,0,7
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.12670000432990491,3.1622776601683795,0,7
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.050000002374872565,2.23606797749979,0,4
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.0709999876562506,2.23606797749979,0,4
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.11529997573234141,3.605551275463989,0,7
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.07639999967068434,2.23606797749979,0,4
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.12660000356845558,3.605551275463989,0,7
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.06969997775740921,2.23606797749979,0,4
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.028700014809146523,1.0,0,2
log_clip_0.8_1.8,dao,arena2.map,281,0.5860477787805003,0.8,1,0.019700004486367106,1.0,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.02889998722821474,2.0,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.028999987989664078,2.0,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.05379997310228646,2.23606797749979,0,3
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.06520000169984996,2.23606797749979,0,3
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.05060000694356859,3.1622776601683795,0,3
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.053499999921768904,3.605551275463989,0,3
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.02929999027401209,1.4142135623730951,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.11110000195913017,2.0,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.03809999907389283,1.0,0,2
log_clip_0.8_1.8,street,Berlin_0_1024.map,1024,0.24206924438476562,1.4185314599325798,1,0.03190001007169485,1.4142135623730951,0,2
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.021400017431005836,1.4142135623730951,0,2
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.03399999695830047,3.0,0,2
log_clip_0.8_1.8,street,Berlin_0_256.map,256,0.2653350830078125,1.326761787577056,1,0.03399999695830047,2.23606797749979,0,3
