algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id
dijkstra,1,2.8284271247461903,1,0.03269998705945909,7,40,0.7,15,19
astar,1,2.8284271247461903,1,0.013999990187585354,3,40,0.7,15,19
weighted_astar,1,2.8284271247461903,1,0.010000003385357559,3,40,0.7,15,19
jps_like,1,2.8284271247461903,1,0.01510001311544329,3,40,0.7,15,19
improved_astar,1,2.8284271247461903,1,0.014399993233382702,3,40,0.7,15,19
dijkstra,1,19.142135623730955,12,0.16060000052675605,56,40,0.7,16,20
astar,1,19.142135623730955,12,0.10540000221226364,35,40,0.7,16,20
weighted_astar,1,19.142135623730955,12,0.09590000263415277,33,40,0.7,16,20
jps_like,1,19.14213562373095,12,0.15549999079667032,35,40,0.7,16,20
improved_astar,1,13.892922226992171,7,0.1677999971434474,36,40,0.7,16,20
dijkstra,1,11.485281374238571,6,0.0447999918833375,14,40,0.7,17,21
astar,1,11.485281374238571,6,0.033899996196851134,10,40,0.7,17,21
weighted_astar,1,11.485281374238571,6,0.08019999950192869,10,40,0.7,17,21
jps_like,1,11.485281374238571,6,0.1846999948611483,10,40,0.7,17,21
improved_astar,1,9.60555127546399,3,0.046900007873773575,10,40,0.7,17,21
dijkstra,1,12.656854249492381,8,0.10580000525806099,37,40,0.7,18,22
astar,1,12.656854249492381,8,0.07280000136233866,23,40,0.7,18,22
weighted_astar,1,12.656854249492381,8,0.05079999391455203,16,40,0.7,18,22
jps_like,1,12.656854249492381,8,0.11029999586753547,23,40,0.7,18,22
improved_astar,1,11.47213595499958,4,0.13270000636111945,28,40,0.7,18,22
dijkstra,1,7.65685424949238,2,0.0526000076206401,16,40,0.7,19,23
astar,1,7.65685424949238,2,0.03809999907389283,7,40,0.7,19,23
weighted_astar,1,7.65685424949238,2,0.05119999696034938,7,40,0.7,19,23
jps_like,1,7.65685424949238,3,0.0295999925583601,5,40,0.7,19,23
improved_astar,1,7.0710678118654755,1,0.11969999468419701,11,40,0.7,19,23
dijkstra,1,1.4142135623730951,0,0.012599994079209864,3,40,0.7,20,24
astar,1,1.4142135623730951,0,0.007000009645707905,2,40,0.7,20,24
weighted_astar,1,1.4142135623730951,0,0.005399997462518513,2,40,0.7,20,24
jps_like,1,1.4142135623730951,0,0.009499999578110874,2,40,0.7,20,24
improved_astar,1,1.4142135623730951,0,0.010099989594891667,2,40,0.7,20,24
dijkstra,1,1.4142135623730951,0,0.012600008631125093,4,40,0.7,21,25
astar,1,1.4142135623730951,0,0.005900001269765198,2,40,0.7,21,25
weighted_astar,1,1.4142135623730951,0,0.0045000051613897085,2,40,0.7,21,25
jps_like,1,1.4142135623730951,0,0.007199996616691351,2,40,0.7,21,25
improved_astar,1,1.4142135623730951,0,0.007100010407157242,2,40,0.7,21,25
dijkstra,1,5.656854249492381,0,0.04199999966658652,14,40,0.7,22,26
astar,1,5.656854249492381,0,0.01850000990089029,5,40,0.7,22,26
