size,ratio,metric,baseline,n_pairs,improved_mean,baseline_mean,mean_diff_imp_minus_base,improvement_percent,p_value_perm_two_sided,significant_p_lt_0_05,q_value_bh_fdr,significant_q_lt_0_05
80,0.7,runtime_ms,jps_like,30,0.08371000003535298,0.06215333317716913,0.021556666858183846,-34.6830423345699,0.5442911417716457,0,0.72901281812603,0
80,0.7,path_length,jps_like,30,7.291599572641319,8.44304713074661,-1.151447558105291,13.637819856673827,0.5976804639072185,0,0.72901281812603,0
80,0.7,turn_count,jps_like,30,2.2333333333333334,4.0,-1.7666666666666666,44.166666666666664,0.13377324535092983,0,0.30576741794498247,0
80,0.7,runtime_ms,dijkstra,30,0.08371000003535298,0.08464333174439766,-0.0009333317090446797,1.102664190799005,0.9776044791041791,0,0.9878950525684337,0
80,0.7,path_length,dijkstra,30,7.291599572641319,8.443047130746612,-1.1514475581052928,13.637819856673843,0.593881223755249,0,0.72901281812603,0
80,0.7,turn_count,dijkstra,30,2.2333333333333334,3.8333333333333335,-1.6,41.73913043478261,0.1899620075984803,0,0.3799240151969607,0
100,0.3,runtime_ms,astar,30,0.48759666775974136,1.324463333003223,-0.8368666652434815,63.1853403858214,0.0001999600079984003,1,0.001919616076784643,1
100,0.3,path_length,astar,30,58.28842469322781,61.17249634685272,-2.8840716536249076,4.714654176072857,0.6908618276344731,0,0.7431047123908551,0
100,0.3,turn_count,astar,30,13.2,20.266666666666666,-7.066666666666666,34.86842105263158,0.0005998800239952009,1,0.0041134630216813775,1
100,0.3,runtime_ms,weighted_astar,30,0.48759666775974136,0.3443399997195229,0.14325666804021847,-41.60326077624037,0.016396720655868825,1,0.05621732796297883,0
100,0.3,path_length,weighted_astar,30,58.28842469322781,62.74038234440136,-4.451957651173551,7.095840804309063,0.5414917016596681,0,0.72901281812603,0
100,0.3,turn_count,weighted_astar,30,13.2,22.366666666666667,-9.166666666666668,40.98360655737706,0.0011997600479904018,1,0.00639872025594881,1
100,0.3,runtime_ms,jps_like,30,0.48759666775974136,2.7526433317689225,-2.2650466640091813,82.28623875340949,0.0001999600079984003,1,0.001919616076784643,1
100,0.3,path_length,jps_like,30,58.28842469322781,61.17249634685273,-2.884071653624922,4.714654176072879,0.6874625074985004,0,0.7431047123908551,0
100,0.3,turn_count,jps_like,30,13.2,21.1,-7.900000000000002,37.44075829383887,0.0005998800239952009,1,0.0041134630216813775,1
100,0.3,runtime_ms,dijkstra,30,0.48759666775974136,13.193310000254618,-12.705713332494877,96.304212758206,0.0001999600079984003,1,0.001919616076784643,1
100,0.3,path_length,dijkstra,30,58.28842469322781,61.17249634685272,-2.8840716536249076,4.714654176072857,0.6966606678664267,0,0.7431047123908551,0
100,0.3,turn_count,dijkstra,30,13.2,20.333333333333332,-7.133333333333333,35.08196721311476,0.0005998800239952009,1,0.0041134630216813775,1
100,0.7,runtime_ms,astar,30,0.12010333399909236,0.06421999957334866,0.0558833344257437,-87.01858423701285,0.09998000399920016,0,0.2714123841898287,0
100,0.7,path_length,astar,30,9.56545147972966,11.108157757605747,-1.5427062778760874,13.888047969248523,0.5604879024195161,0,0.72901281812603,0
100,0.7,turn_count,astar,30,3.3,5.233333333333333,-1.9333333333333336,36.94267515923567,0.1275744851029794,0,0.30576741794498247,0
100,0.7,runtime_ms,weighted_astar,30,0.12010333399909236,0.05462666595121842,0.06547666804787394,-119.86209831356827,0.04859028194361128,1,0.15047313118021557,0
100,0.7,path_length,weighted_astar,30,9.56545147972966,11.108157757605747,-1.5427062778760874,13.888047969248523,0.5624875024995001,0,0.72901281812603,0
100,0.7,turn_count,weighted_astar,30,3.3,5.166666666666667,-1.8666666666666671,36.12903225806453,0.14157168566286743,0,0.3160670191543087,0
100,0.7,runtime_ms,jps_like,30,0.12010333399909236,0.09642333364657434,0.02368000035251802,-24.558371357822587,0.554489102179564,0,0.72901281812603,0
100,0.7,path_length,jps_like,30,9.56545147972966,11.108157757605744,-1.5427062778760838,13.888047969248497,0.5500899820035993,0,0.72901281812603,0
100,0.7,turn_count,jps_like,30,3.3,5.2,-1.9000000000000004,36.53846153846154,0.14957008598280344,0,0.32633473305338934,0
100,0.7,runtime_ms,dijkstra,30,0.12010333399909236,0.12007333280052987,3.000119856248762e-05,-0.024985729855876233,0.999000199960008,0,0.9990001999600079,0
100,0.7,path_length,dijkstra,30,9.56545147972966,11.108157757605747,-1.5427062778760874,13.888047969248523,0.5550889822035593,0,0.72901281812603,0
100,0.7,turn_count,dijkstra,30,3.3,5.1,-1.7999999999999998,35.29411764705882,0.15596880623875226,0,0.3327334533093381,0
