algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
jps_like,1,18.899494936611667,11,0.3959000023314729,31,20,0.3,21,21,42
improved_astar,1,18.29126786466034,9,0.4021000058855861,31,20,0.3,21,21,42
dijkstra,1,5.242640687119285,3,0.3387999895494431,53,20,0.3,22,22,42
astar,1,5.242640687119285,3,0.0444000033894553,5,20,0.3,22,22,42
weighted_astar,1,5.242640687119285,3,0.0402000005124136,5,20,0.3,22,22,42
jps_like,1,5.242640687119285,3,0.0820999994175508,5,20,0.3,22,22,42
improved_astar,1,5.06449510224598,2,0.0808999902801588,5,20,0.3,22,22,42
dijkstra,1,18.65685424949238,7,1.1384999961592257,188,20,0.3,23,23,42
astar,1,18.65685424949238,7,0.2401999954599887,27,20,0.3,23,23,42
weighted_astar,1,18.656854249492383,6,0.2106000029016286,23,20,0.3,23,23,42
jps_like,1,18.65685424949238,6,0.6062999891582876,32,20,0.3,23,23,42
improved_astar,1,17.468336390445764,2,0.1857000024756416,9,20,0.3,23,23,42
dijkstra,1,18.970562748477143,1,1.0245000012218952,225,20,0.3,24,24,42
astar,1,18.970562748477143,3,0.1794999989215284,17,20,0.3,24,24,42
weighted_astar,1,18.970562748477143,3,0.152900000102818,15,20,0.3,24,24,42
jps_like,1,18.97056274847714,1,0.1546999992569908,6,20,0.3,24,24,42
improved_astar,1,18.55887395620316,1,0.2031999902101233,6,20,0.3,24,24,42
dijkstra,1,16.242640687119284,5,0.4134999908274039,126,20,0.3,25,25,42
astar,1,16.242640687119284,5,0.1763999898685142,22,20,0.3,25,25,42
weighted_astar,1,16.242640687119284,5,0.1764000044204294,21,20,0.3,25,25,42
jps_like,1,16.242640687119284,6,0.124300000607036,14,20,0.3,25,25,42
improved_astar,1,15.738768882709854,4,0.1116000057663768,13,20,0.3,25,25,42
dijkstra,1,13.899494936611667,6,0.8662000036565587,259,20,0.3,26,26,42
astar,1,13.899494936611667,6,0.1601999974809587,35,20,0.3,26,26,42
weighted_astar,1,13.899494936611667,4,0.083099992480129,18,20,0.3,26,26,42
jps_like,1,13.899494936611664,6,0.2814999897964299,31,20,0.3,26,26,42
improved_astar,1,12.20079285608123,2,0.1262000005226582,13,20,0.3,26,26,42
dijkstra,1,9.82842712474619,2,0.327600006130524,100,20,0.3,27,27,42
astar,1,9.82842712474619,4,0.0811000063549727,18,20,0.3,27,27,42
weighted_astar,1,9.82842712474619,3,0.0475999986520037,10,20,0.3,27,27,42
jps_like,1,9.82842712474619,3,0.3026000049430877,18,20,0.3,27,27,42
improved_astar,1,9.219544457292889,0,0.0842000008560717,5,20,0.3,27,27,42
dijkstra,1,16.242640687119287,3,0.705099999322556,210,20,0.3,28,28,42
astar,1,16.242640687119287,5,0.1778000005288049,40,20,0.3,28,28,42
weighted_astar,1,16.242640687119287,5,0.09479999425821,19,20,0.3,28,28,42
jps_like,1,16.242640687119284,3,0.2946000022348016,30,20,0.3,28,28,42
improved_astar,1,15.12310562561766,2,0.1347000070381909,12,20,0.3,28,28,42
dijkstra,1,2.8284271247461903,0,0.0583000073675066,14,20,0.3,29,29,42
astar,1,2.8284271247461903,0,0.0151000131154432,3,20,0.3,29,29,42
weighted_astar,1,2.8284271247461903,0,0.0125999940792098,3,20,0.3,29,29,42
jps_like,1,2.8284271247461903,0,0.0246999989030882,2,20,0.3,29,29,42
improved_astar,1,2.8284271247461903,0,0.0166000099852681,2,20,0.3,29,29,42
dijkstra,1,1.0,0,0.0094999995781108,2,20,0.7,0,0,42
astar,1,1.0,0,0.0055999989854171,2,20,0.7,0,0,42
weighted_astar,1,1.0,0,0.0035000120988115,2,20,0.7,0,0,42
jps_like,1,1.0,0,0.0055999989854171,2,20,0.7,0,0,42
improved_astar,1,1.0,0,0.004900008207187,2,20,0.7,0,0,42
dijkstra,1,29.213203435596437,13,0.272899997071363,94,20,0.7,1,1,42
astar,1,29.213203435596437,13,0.5098999972688034,89,20,0.7,1,1,42
weighted_astar,1,29.213203435596437,13,0.2720000047702342,89,20,0.7,1,1,42
jps_like,1,29.21320343559643,14,0.4131999885430559,89,20,0.7,1,1,42
improved_astar,1,23.741114189575445,11,0.4237999964971095,90,20,0.7,1,1,42
dijkstra,1,1.4142135623730951,0,0.018199993064627,5,20,0.7,2,2,42
astar,1,1.4142135623730951,0,0.0084000057540833,2,20,0.7,2,2,42
weighted_astar,1,1.4142135623730951,0,0.0064000050770118,2,20,0.7,2,2,42
jps_like,1,1.4142135623730951,0,0.0101000041468068,2,20,0.7,2,2,42
improved_astar,1,1.4142135623730951,0,0.0099000026239082,2,20,0.7,2,2,42
dijkstra,1,1.4142135623730951,0,0.0128000101540237,3,20,0.7,3,3,42
astar,1,1.4142135623730951,0,0.0072999973781406,2,20,0.7,3,3,42
weighted_astar,1,1.4142135623730951,0,0.0059000012697651,2,20,0.7,3,3,42
