map_name,map_type,size,ratio,run_id,algorithm,success,runtime_ms,path_length,turn_count,expanded_nodes
Berlin_0_1024.map,street,1024,0.24206924438476562,0,dijkstra,1,3634.2529150024347,921.4305909533022,144,607715
Berlin_0_1024.map,street,1024,0.24206924438476562,0,astar,1,1389.666588002001,921.4305909533022,143,200376
Berlin_0_1024.map,street,1024,0.24206924438476562,0,weighted_astar,1,1608.4147849978763,949.8153672641525,225,171453
Berlin_0_1024.map,street,1024,0.24206924438476562,0,improved_astar,1,1177.0666409975092,892.7104547563215,7,123479
Berlin_0_1024.map,street,1024,0.24206924438476562,0,ablation_no_adaptive,1,1517.9887829981453,824.471716225899,13,200376
Berlin_0_1024.map,street,1024,0.24206924438476562,0,ablation_no_smoothing,1,1085.126099002082,984.6093065034935,132,123479
Berlin_0_1024.map,street,1024,0.24206924438476562,1,dijkstra,1,2007.3465789973852,507.6538956566637,7,320853
Berlin_0_1024.map,street,1024,0.24206924438476562,1,astar,1,243.04224899969995,507.65389565666374,46,25274
Berlin_0_1024.map,street,1024,0.24206924438476562,1,weighted_astar,1,45.84948800038546,519.2518754031107,69,7131
Berlin_0_1024.map,street,1024,0.24206924438476562,1,improved_astar,1,39.40544500073884,478.2896023667978,8,4665
Berlin_0_1024.map,street,1024,0.24206924438476562,1,ablation_no_adaptive,1,196.96166399808135,476.32886417839757,9,25274
Berlin_0_1024.map,street,1024,0.24206924438476562,1,ablation_no_smoothing,1,32.07873499923153,530.0214280248115,95,4665
Berlin_0_1024.map,street,1024,0.24206924438476562,2,dijkstra,1,592.5228450032591,281.0538238691622,2,112862
Berlin_0_1024.map,street,1024,0.24206924438476562,2,astar,1,34.78446500230348,281.05382386916233,3,6030
Berlin_0_1024.map,street,1024,0.24206924438476562,2,weighted_astar,1,1.8672029982553795,281.05382386916233,1,263
Berlin_0_1024.map,street,1024,0.24206924438476562,2,improved_astar,1,1.85219299964956,266.00751869073173,0,263
Berlin_0_1024.map,street,1024,0.24206924438476562,2,ablation_no_adaptive,1,33.53324499767041,266.00751869073173,0,6030
Berlin_0_1024.map,street,1024,0.24206924438476562,2,ablation_no_smoothing,1,1.7967769999813754,281.05382386916233,1,263
Berlin_0_1024.map,street,1024,0.24206924438476562,3,dijkstra,1,2693.338681001478,776.4499269370596,107,466451
