map_name,map_type,size,ratio,algorithm,effective_repeats,success_rate,runtime_ms_mean,runtime_ms_std,path_length_mean,turn_count_mean,expanded_nodes_mean,source
Berlin_0_1024.map,street,1024,0.24206924438476562,dijkstra,30,1.0,2344.238288900427,1338.1372229719473,625.1641842521675,41.53333333333333,391937.1666666667,exp_fix15_v2
Berlin_0_1024.map,street,1024,0.24206924438476562,astar,30,1.0,402.6686040001853,386.18778081798973,625.1641842521675,47.3,53875.666666666664,exp_fix15_v2
Berlin_0_1024.map,street,1024,0.24206924438476562,weighted_astar,30,1.0,191.36777866685102,319.9887607283805,641.9324886579271,94.53333333333333,24501.666666666668,exp_fix15_v2
Berlin_0_1024.map,street,1024,0.24206924438476562,improved_astar,30,1.0,125.06982180008588,222.3828450397326,590.2878392926644,9.933333333333334,16378,exp_fix15_v2
Berlin_0_1024.map,street,1024,0.24206924438476562,ablation_no_adaptive,30,1.0,389.1501228332345,386.9816059256582,586.9524265970921,8.8,53875.666666666664,exp_fix15_v2
Berlin_0_1024.map,street,1024,0.24206924438476562,ablation_no_smoothing,30,1.0,119.32562233341741,206.25160399288586,655.9881355411212,138.6,16378,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,dijkstra,30,1.0,91.97174983322232,56.570091037985726,148.08120001748944,17.766666666666666,22686.333333333332,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,astar,30,1.0,16.91369299987855,17.84583049101042,148.08120001748944,20.4,3175.8333333333335,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,weighted_astar,30,1.0,10.280581733240979,14.441179769516708,150.4337228564848,26.466666666666665,1866.4666666666667,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,improved_astar,30,1.0,8.909745933124213,12.633585677830196,140.9168078249092,8.366666666666667,1616.4666666666667,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,ablation_no_adaptive,30,1.0,17.032789566292195,18.262715677932256,139.14847706002826,7,3175.8333333333335,exp_fix15_v2
Berlin_1_256.map,street,256,0.27459716796875,ablation_no_smoothing,30,1.0,8.719537366293176,12.296798126677613,151.8730133748245,29.7,1616.4666666666667,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,dijkstra,30,1.0,2139.1255523334016,1371.7363488513315,572.9590449103076,36.2,354598.56666666665,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,astar,30,1.0,456.5845331669455,607.4038440448071,572.9590449103077,49.13333333333333,56398,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,weighted_astar,30,1.0,248.5982404332996,323.4541944948499,588.0959087314669,99.16666666666667,32173.633333333335,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,improved_astar,30,1.0,124.32360003355522,146.75046947904437,550.8044301707079,19.066666666666666,17801.266666666666,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,ablation_no_adaptive,30,1.0,455.6071486334986,587.2061343302676,537.8234705264016,14.433333333333334,56398,exp_fix15_v2
Berlin_1_1024.map,street,1024,0.2377176284790039,ablation_no_smoothing,30,1.0,122.39513273379998,142.899312545947,597.6424455003969,102.83333333333333,17801.266666666666,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,dijkstra,30,1.0,242.0868377002383,146.30320314215535,219.97245054131784,12.133333333333333,53135.4,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,astar,30,1.0,27.92034133344714,29.828509753087452,219.97245054131787,12.233333333333333,4615.2,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,weighted_astar,30,1.0,8.184418533467882,14.314643527445542,223.9603389317832,15.066666666666666,1340.4,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,improved_astar,30,1.0,27.780645800036535,29.555233053768006,208.00498685676553,4.533333333333333,4615.2,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,ablation_no_adaptive,30,1.0,27.6319917661264,29.494969203061,208.00498685676553,4.533333333333333,4615.2,exp_fix15_v2
battleground.map,wc3,512,0.6480255126953125,ablation_no_smoothing,30,1.0,27.54490633342357,29.276369181731862,219.97245054131787,12.233333333333333,4615.2,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,dijkstra,30,1.0,308.34510623329453,208.01656847092573,213.88571174703267,11.266666666666667,65667.8,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,astar,30,1.0,35.12777673349774,40.76565613024375,213.8857117470327,12.1,5397.133333333333,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,weighted_astar,30,1.0,6.3720629339513835,5.761937943435011,219.5438550621089,19.1,1072.9,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,improved_astar,30,1.0,34.02816703322363,40.49969526353307,202.2040589105372,4.766666666666667,5397.133333333333,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,ablation_no_adaptive,30,1.0,33.279417933226796,39.472837218795,202.2040589105372,4.766666666666667,5397.133333333333,exp_fix15_v2
blastedlands.map,wc3,512,0.4987373352050781,ablation_no_smoothing,30,1.0,32.767433000238576,38.502578938339006,213.8857117470327,12.1,5397.133333333333,exp_fix15_v2
bloodvenomfalls.map,wc3,512,0.557281494140625,dijkstra,30,1.0,265.74295203269384,134.47123708103112,259.9546487210007,16.2,61516.833333333336,exp_fix15_v2
bloodvenomfalls.map,wc3,512,0.557281494140625,astar,30,1.0,45.775092333375746,42.50921831666625,259.9546487210007,18.166666666666668,8217.3,exp_fix15_v2
